time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
24200,5.521158,0.485247,0,0
24300,0.825548,0.486993,0,0
24400,8.378814,0.488591,0,0
24500,109.191780,0.323571,1,0
24600,1.587989,0.324928,0,0
24700,5.706166,0.326184,0,0
24800,8.685261,0.327296,0,0
24900,2.767659,0.328291,0,0
25000,135.924850,0.141476,1,0
25100,8.169663,0.142313,0,0
25200,2.672962,0.143087,0,0
25300,1.520509,0.143731,0,0
25400,1.144072,0.144400,0,0
25500,19.722537,0.049703,1,0
25600,8.510573,0.050278,0,0
25700,5.941609,0.050879,0,0
25800,5.300569,0.051433,0,0
25900,4.797964,0.052038,0,0
26000,80.238872,0.090885,1,0
26100,6.469405,0.090358,0,0
26200,0.479414,0.089816,0,0
26300,8.888122,0.089256,0,0
26400,5.935700,0.088696,0,0
26500,153.717331,0.289962,1,0
26600,3.884670,0.289249,0,0
26700,5.453154,0.288468,0,0
26800,8.110485,0.287635,0,0
26900,8.753267,0.286703,0,0
27000,115.506554,0.457250,1,0
27100,7.746494,0.456237,0,0
27200,8.843653,0.455065,0,0
27300,4.360846,0.453707,0,0
27400,1.189841,0.452240,0,0
27500,132.438394,0.635523,1,1
27600,0.968335,0.633669,0,1
27700,5.189250,0.631600,0,1
27800,6.528279,0.629319,0,1
27900,3.209296,0.626915,0,1
28000,126.399843,0.804398,1,1
28100,6.497571,0.801566,0,1
28200,1.147076,0.798456,0,1
28300,3.341339,0.795085,0,1
28400,7.831799,0.791471,0,1
28500,178.415254,0.990829,1,1
28600,7.841754,0.994631,0,1
28700,8.444957,0.998093,0,1
28800,2.007137,0.998715,0,1
28900,5.597816,0.995290,0,1
29000,105.404832,0.845040,1,1
29100,1.698439,0.848793,0,1
29200,1.481148,0.852210,0,1
29300,1.366759,0.855394,0,1
29400,3.479790,0.858271,0,1
29500,43.563099,0.746700,1,1
29600,1.784164,0.749163,0,1
29700,6.057505,0.751383,0,1
29800,3.584104,0.753347,0,1
29900,2.540490,0.755175,0,1
30000,82.181113,0.611741,1,0
30100,3.555828,0.613072,0,0
30200,4.574321,0.614275,0,0
30300,8.205824,0.615190,0,0
30400,4.435126,0.616001,0,0
30500,31.872312,0.511624,1,0
30600,2.106896,0.512006,0,0
30700,1.675124,0.512269,0,0
30800,7.268639,0.512376,0,0
30900,5.924006,0.512346,0,0
31000,54.215285,0.389430,1,0
31100,1.824014,0.389059,0,0
31200,7.244229,0.388560,0,0
31300,2.208221,0.387930,0,0
31400,8.682751,0.387203,0,0
31500,166.931313,0.173986,1,0
31600,8.531801,0.173099,0,0
31700,3.659225,0.172133,0,0
31800,3.761681,0.171202,0,0
31900,3.395230,0.170146,0,0
32000,17.009157,0.075964,1,0
32100,1.766705,0.074886,0,0
32200,6.339737,0.073750,0,0
32299,8.841002,0.072562,0,0
32400,4.310323,0.071434,0,0
32500,117.142411,0.102580,1,0
32600,0.644815,0.103805,0,0
32700,5.683515,0.104983,0,0
32800,4.247795,0.106164,0,0
32900,8.608457,0.107276,0,0
33000,102.259911,0.269288,1,0
33100,0.444069,0.270255,0,0
33200,1.614951,0.271120,0,0
33300,1.212385,0.271953,0,0
33400,4.950586,0.272664,0,0
33500,109.237079,0.439819,1,0
33600,2.223551,0.440395,0,0
33700,8.471836,0.440851,0,0
33800,6.693347,0.441147,0,0
33900,8.969622,0.441298,0,0
34000,75.152452,0.580742,1,0
34100,7.408931,0.580608,0,0
34200,7.352232,0.580311,0,0
34300,2.253720,0.579834,0,0
34400,7.229706,0.579157,0,0
34500,38.268488,0.688350,1,1
34600,3.686865,0.687305,0,1
34700,8.775192,0.686044,0,1
34800,7.446224,0.684565,0,1
34900,0.735447,0.682852,0,1
35000,148.004442,0.878335,1,1
35100,6.306409,0.876241,0,1
35200,6.167966,0.873845,0,1
35300,4.478118,0.871282,0,1
35400,4.976952,0.868465,0,1
35500,8.455040,0.951645,1,1
35600,7.028345,0.948282,0,1
35700,4.144191,0.944584,0,1
35800,2.965217,0.940596,0,1
35900,8.141180,0.936333,0,1
36000,118.444379,0.894359,1,1
36100,7.732328,0.898909,0,1
36200,3.220070,0.903199,0,1
36300,3.070218,0.907228,0,1
36400,4.912223,0.910941,0,1
36500,8.193650,0.828281,1,1
36600,4.133151,0.831426,0,1
36700,3.446215,0.834359,0,1
36800,5.286050,0.837040,0,1
36900,2.737230,0.839444,0,1
37000,124.962268,0.662586,1,1
37100,2.168095,0.664515,0,1
37200,8.485928,0.666274,0,1
37300,3.230164,0.667745,0,1
37400,2.150057,0.669107,0,1
37500,73.908931,0.531825,1,0
37600,1.745521,0.532732,0,0
37700,5.625176,0.533476,0,0
37800,8.838463,0.534039,0,0
37900,2.454182,0.534440,0,0
38000,27.005101,0.433667,1,0
38100,7.292851,0.433807,0,0
38200,1.201867,0.433868,0,0
38300,3.175831,0.433826,0,0
38400,6.641144,0.433544,0,0
38500,133.978480,0.246963,1,0
38600,0.462975,0.246481,0,0
38700,1.408328,0.245939,0,0
38800,6.461180,0.245293,0,0
