time_ms,mode,continuity_score,handoff_event_bool
14900,WNN,0.975588,0
15000,WNN,0.976250,0
15100,WNN,0.976904,0
15200,WNN,0.977555,0
15300,WNN,0.978223,0
15400,WNN,0.978871,0
15500,WNN,0.979530,0
15600,WNN,0.980178,0
15700,WNN,0.980836,0
15800,WNN,0.981492,0
15900,WNN,0.982142,0
16000,WNN,0.982804,0
16100,WNN,0.983460,0
16200,WNN,0.984091,0
16300,WNN,0.984738,0
16400,WNN,0.985389,0
16500,WNN,0.986033,0
16600,WNN,0.986688,0
16700,WNN,0.987344,0
16800,WNN,0.988005,0
16900,WNN,0.988651,0
17000,WNN,0.989299,0
17100,WNN,0.989939,0
17200,WNN,0.990593,0
17300,WNN,0.991230,0
17400,WNN,0.991876,0
17500,WNN,0.992526,0
17600,WNN,0.993173,0
17700,WNN,0.993821,0
17800,WNN,0.994474,0
17900,WNN,0.995119,0
18000,WNN,0.995762,0
18100,WNN,0.996409,0
18200,WNN,0.997056,0
18300,WNN,0.997702,0
18400,WNN,0.998338,0
18500,WNN,0.998976,0
18600,WNN,0.999525,0
18700,WNN,0.999632,0
18800,WNN,0.999096,0
18900,WNN,0.998458,0
19000,WNN,0.997823,0
19100,WNN,0.997184,0
19200,WNN,0.996556,0
19300,WNN,0.995916,0
19400,WNN,0.995280,0
19500,WNN,0.994637,0
19600,WNN,0.994002,0
19700,WNN,0.993373,0
19800,WNN,0.992730,0
19900,WNN,0.992097,0
20000,WNN,0.991456,0
20100,WNN,0.990829,0
20200,WNN,0.990189,0
20300,WNN,0.989549,0
20400,WNN,0.988919,0
20500,WNN,0.988291,0
20600,WNN,0.987656,0
20700,WNN,0.987030,0
20800,WNN,0.986392,0
20900,WNN,0.985748,0
21000,WNN,0.985136,0
21100,WNN,0.984500,0
21200,WNN,0.983876,0
21300,WNN,0.983264,0
21400,WNN,0.982633,0
21500,WNN,0.982009,0
21600,WNN,0.981372,0
21700,WNN,0.980740,0
21800,WNN,0.980117,0
21900,WNN,0.979491,0
22000,WNN,0.978858,0
22100,WNN,0.978233,0
22200,WNN,0.977611,0
22300,WNN,0.976989,0
22400,WNN,0.976359,0
22500,WNN,0.975737,0
22600,WNN,0.975113,0
