timestamp_ms,node_i_id,node_j_id,phase_diff_rads,freq_diff_hz
1920,9,10,0.02490670,0.00050000
1920,10,11,0.02492592,0.00050000
1920,11,12,0.04412670,0.00050000
1920,12,13,0.02490670,0.00050000
1920,13,14,0.02490670,0.00050000
1920,14,15,0.04414592,0.00050000
1920,15,16,0.02490670,0.00050000
1920,16,17,0.02490670,0.00050000
1920,17,18,0.04412670,0.00050000
1920,18,19,0.02492592,0.00050000
1920,19,20,0.02490670,0.00050000
1920,20,21,0.04412670,0.00050000
1920,21,22,0.02490670,0.00050000
1920,22,23,0.02492592,0.00050000
1920,23,24,0.04412670,0.00050000
1920,24,25,0.02490670,0.00050000
1920,25,26,0.02490670,0.00050000
1920,26,27,0.02492592,0.00050000
1920,27,28,0.04412670,0.00050000
1920,28,29,0.02490670,0.00050000
1920,29,30,0.02490670,0.00050000
1920,30,31,0.04414592,0.00050000
1920,31,32,0.02490670,0.00050000
1920,32,33,0.02490670,0.00050000
1920,33,34,0.04412670,0.00050000
1920,34,35,0.02492592,0.00050000
1920,35,36,0.02490670,0.00050000
1920,36,37,0.04412670,0.00050000
1920,37,38,0.02490670,0.00050000
1920,38,39,0.02492592,0.00050000
1920,39,40,0.04412670,0.00050000
1920,40,41,0.02490670,0.00050000
1920,41,42,0.02490670,0.00050000
1920,42,43,0.04414592,0.00050000
1920,43,44,0.02490670,0.00050000
1920,44,45,0.02490670,0.00050000
1920,45,46,0.02490670,0.00050000
1920,46,47,0.04414592,0.00050000
1920,47,48,0.02490670,0.00050000
1920,48,49,0.02490670,0.00050000
1920,49,50,0.04412670,0.00050000
1920,50,51,0.02492592,0.00050000
1920,51,52,0.02490670,0.00050000
1920,52,53,0.04412670,0.00050000
1920,53,54,0.02490670,0.00050000
1920,54,55,0.02492592,0.00050000
1920,55,56,0.04412670,0.00050000
1920,56,57,0.02490670,0.00050000
1920,57,58,0.02490670,0.00050000
1920,58,59,0.04414592,0.00050000
1920,59,60,0.02490670,0.00050000
1920,60,61,0.02490670,0.00050000
1920,61,62,0.04412670,0.00050000
1920,62,63,0.02492592,0.00050000
1920,63,64,0.02490670,0.00050000
1920,64,65,0.02490670,0.00050000
1920,65,66,0.04412670,0.00050000
1920,66,67,0.02492592,0.00050000
1920,67,68,0.02490670,0.00050000
1920,68,69,0.04412670,0.00050000
1920,69,70,0.02490670,0.00050000
1920,70,71,0.02492592,0.00050000
1920,71,72,0.04412670,0.00050000
1920,72,73,0.02490670,0.00050000
1920,73,74,0.02490670,0.00050000
1920,74,75,0.04414592,0.00050000
1920,75,76,0.02490670,0.00050000
1920,76,77,0.02490670,0.00050000
1920,77,78,0.04412670,0.00050000
1920,78,79,0.02492592,0.00050000
1920,79,80,0.02490670,0.00050000
1920,80,81,0.02490670,0.00050000
1920,81,82,0.04412670,0.00050000
1920,82,83,0.02492592,0.00050000
1920,83,84,0.02490670,0.00050000
1920,84,85,0.04412670,0.00050000
1920,85,86,0.02490670,0.00050000
1920,86,87,0.02492592,0.00050000
1920,87,88,0.04412670,0.00050000
1920,88,89,0.02490670,0.00050000
1920,89,90,0.02490670,0.00050000
1920,90,91,0.04414592,0.00050000
1920,91,92,0.02490670,0.00050000
1920,92,93,0.02490670,0.00050000
1920,93,94,0.04412670,0.00050000
1920,94,95,0.02492592,0.00050000
1920,95,96,0.02490670,0.00050000
1920,96,97,0.04412670,0.00050000
1920,97,98,0.02490670,0.00050000
1920,98,99,0.02492592,0.00050000
